directory,filename,filepath,length,dominant_topic,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob
final-project-soha-heather,issue_5_Update Side Bar Design.txt,context-fa24/final-project-soha-heather/issue_5_Update Side Bar Design.txt,316,6,0.006832136873641584,0.006803146705740408,0.006804414250453714,0.006822764124993745,0.006805090354842378,0.9591270385290429,0.006805409161285395
final-project-soha-heather,issue_12_Threat Modelling - Information Disclosure.txt,context-fa24/final-project-soha-heather/issue_12_Threat Modelling - Information Disclosure.txt,144,7,0.02044716747479504,0.020439475054779967,0.020409287874963853,0.02040920895943797,0.020423035867970292,0.02040916463511628,0.8774626601329366
final-project-soha-heather,issue_2_Commenting on Posts User Story.txt,context-fa24/final-project-soha-heather/issue_2_Commenting on Posts User Story.txt,338,1,0.9046943508751517,0.01587387141385347,0.015881814284956944,0.015894764263364104,0.01589544921359819,0.015882351899962767,0.01587739804911264
final-project-soha-heather,issue_11_Threat Modelling - Spoofing.txt,context-fa24/final-project-soha-heather/issue_11_Threat Modelling - Spoofing.txt,190,3,0.017859244116717857,0.017873200696763507,0.655902607790673,0.2546349205240233,0.01795612495078346,0.017862280345471833,0.01791162157556689
final-project-soha-heather,issue_23_Update header with material UI.txt,context-fa24/final-project-soha-heather/issue_23_Update header with material UI.txt,234,6,0.011912414872384763,0.011905770385394778,0.011905176909027563,0.011926085673511623,0.011953178770231176,0.9284915695559715,0.011905803833478699
final-project-soha-heather,issue_3_Voting on Posts User Story.txt,context-fa24/final-project-soha-heather/issue_3_Voting on Posts User Story.txt,300,3,0.01790350641844279,0.39602690757241926,0.5145893375161273,0.017857855988714148,0.01790377392176433,0.01786009657427308,0.017858522008259034
final-project-soha-heather,issue_6_Integrate Material UI Cards for Content Display.txt,context-fa24/final-project-soha-heather/issue_6_Integrate Material UI Cards for Content Display.txt,347,5,0.0062577872287816255,0.0062118992297728205,0.0062160836192200536,0.006235208280816413,0.6673764693234392,0.3014909179301463,0.006211634387823587
final-project-soha-heather,issue_27_Threat Model - Information Disclosure ( Cross Site Scripting ).txt,context-fa24/final-project-soha-heather/issue_27_Threat Model - Information Disclosure ( Cross Site Scripting ).txt,633,4,0.0032582871690004117,0.003266741276138453,0.0032589690124077042,0.9804527969253563,0.0032520200073117025,0.003251198073622859,0.0032599875361624814
final-project-sydney-abdul,issue_7_Creating and Managing User Profiles.txt,context-fa24/final-project-sydney-abdul/issue_7_Creating and Managing User Profiles.txt,620,3,0.0062180038746149375,0.006212086815332866,0.9626995601436766,0.006217140804779493,0.0062133040098380716,0.006228181598121081,0.006211722753637024
final-project-sydney-abdul,issue_5_Creating and Managing User Profiles.txt,context-fa24/final-project-sydney-abdul/issue_5_Creating and Managing User Profiles.txt,620,3,0.0062180038746149375,0.006212086815332866,0.9626995601436766,0.006217140804779493,0.0062133040098380716,0.006228181598121081,0.006211722753637024
final-project-sydney-abdul,issue_2_Commenting on posts.txt,context-fa24/final-project-sydney-abdul/issue_2_Commenting on posts.txt,298,1,0.5368916883216562,0.39159555900566484,0.014286916095756826,0.014299825736840488,0.01433976846986688,0.014298935306249141,0.014287307063965499
final-project-sydney-abdul,issue_6_User Authentication.txt,context-fa24/final-project-sydney-abdul/issue_6_User Authentication.txt,579,4,0.008413211390243591,0.008432711880659659,0.008420728179660561,0.9495097962909215,0.00841408734698004,0.008405765238349778,0.008403699673184935
final-project-sydney-abdul,issue_3_Vote on posts.txt,context-fa24/final-project-sydney-abdul/issue_3_Vote on posts.txt,332,1,0.9463924142431824,0.008929086402313168,0.008936984665908096,0.008947680624338568,0.008934145866886088,0.008930575832954098,0.008929112364417381
final-project-sydney-abdul,issue_4_User Authentication.txt,context-fa24/final-project-sydney-abdul/issue_4_User Authentication.txt,579,4,0.008413211390243591,0.008432711880659659,0.008420728179660561,0.9495097962909215,0.00841408734698004,0.008405765238349778,0.008403699673184935
final-project-viral-sougata,issue_8_Feature_ Save a Question with Navigation Access.txt,context-fa24/final-project-viral-sougata/issue_8_Feature_ Save a Question with Navigation Access.txt,444,1,0.960993387806994,0.006493834219968668,0.006494647376211927,0.006503536749582287,0.006508226793753977,0.0065125721273436524,0.006493794926145556
final-project-viral-sougata,issue_4_User Registration (Feature - Creating and Managing User Profiles).txt,context-fa24/final-project-viral-sougata/issue_4_User Registration (Feature - Creating and Managing User Profiles).txt,636,6,0.0068357679275313854,0.006810711289802275,0.006832929788554342,0.0068061432226584695,0.006825603742575012,0.959053755967009,0.006835088061869397
final-project-viral-sougata,issue_2_Adding and Viewing Comments (Feature - Commenting and Voting on Posts).txt,context-fa24/final-project-viral-sougata/issue_2_Adding and Viewing Comments (Feature - Commenting and Voting on Posts).txt,680,1,0.9641912020004639,0.005955963898443769,0.0059571453268555475,0.005995929499055882,0.0059597189414271005,0.005956251933179041,0.0059837884005747004
final-project-dhananjai-nick,issue_6_User Privacy in Logging.txt,context-fa24/final-project-dhananjai-nick/issue_6_User Privacy in Logging.txt,459,4,0.010229461907339735,0.010213763745308947,0.010339263551182603,0.9385676039924343,0.010219450247564849,0.010222430234226004,0.01020802632194359
final-project-dhananjai-nick,issue_11_Upvoting and Downvoting Posts.txt,context-fa24/final-project-dhananjai-nick/issue_11_Upvoting and Downvoting Posts.txt,220,4,0.047657778171763414,0.047619886119418225,0.04773854122916852,0.7140397765967396,0.0476569009317488,0.04761963339832984,0.047667483552831603
final-project-dhananjai-nick,issue_3_User Activity Tracking.txt,context-fa24/final-project-dhananjai-nick/issue_3_User Activity Tracking.txt,379,5,0.008931838248556548,0.008936952536815132,0.008972133346266875,0.008938073928230773,0.9462906787579399,0.008962596308440533,0.008967726873750245
final-project-dhananjai-nick,issue_8_User Interface Components.txt,context-fa24/final-project-dhananjai-nick/issue_8_User Interface Components.txt,390,6,0.006812175214680711,0.006803721802124274,0.006804534073324686,0.006802807282020445,0.006804543823697002,0.9591693432962602,0.006802874507892559
final-project-dhananjai-nick,issue_30_Logging For Non-Repudiation.txt,context-fa24/final-project-dhananjai-nick/issue_30_Logging For Non-Repudiation.txt,273,5,0.00953078368878583,0.00959755812525782,0.009580146012459696,0.009556547457789772,0.9426824936504246,0.009524273271361471,0.00952819779392083
final-project-dhananjai-nick,issue_19_Commenting on Answers.txt,context-fa24/final-project-dhananjai-nick/issue_19_Commenting on Answers.txt,303,4,0.009528462053351169,0.009524186990242394,0.009541737490438415,0.9427865234440467,0.009542402597443938,0.009551232839402901,0.009525454585074512
final-project-dhananjai-nick,issue_2_User Authentication.txt,context-fa24/final-project-dhananjai-nick/issue_2_User Authentication.txt,398,6,0.0178651415508705,0.017916767621028184,0.26577739164399944,0.01786593479767421,0.017858425207321327,0.47739164082691105,0.18532469835219537
final-project-dhananjai-nick,issue_10_Commenting on Question Posts.txt,context-fa24/final-project-dhananjai-nick/issue_10_Commenting on Question Posts.txt,303,4,0.009528462053351169,0.009524186990242394,0.009541737490438415,0.9427865234440467,0.009542402597443938,0.009551232839402901,0.009525454585074512
final-project-dhananjai-nick,issue_27_Reflected XSS Prevention.txt,context-fa24/final-project-dhananjai-nick/issue_27_Reflected XSS Prevention.txt,296,3,0.009558225274728953,0.31969550018193305,0.45557461531413124,0.00953976600659598,0.009549199102555162,0.009533112955955426,0.18654958116410017
final-project-dhananjai-nick,issue_4_User Logging.txt,context-fa24/final-project-dhananjai-nick/issue_4_User Logging.txt,343,5,0.014381661388315219,0.014294487548679503,0.014302667671754421,0.014307838498809794,0.9141135518614502,0.014296191097759885,0.014303601933231035
final-project-dhananjai-nick,issue_9_User Feedback _ Accessibility.txt,context-fa24/final-project-dhananjai-nick/issue_9_User Feedback _ Accessibility.txt,342,6,0.009602477731056451,0.009524520118237529,0.009549949618761896,0.00954059132960351,0.009524285331571635,0.942732092764083,0.009526083106686026
final-project-dhananjai-nick,issue_12_Upvoting and Downvoting Comments.txt,context-fa24/final-project-dhananjai-nick/issue_12_Upvoting and Downvoting Comments.txt,133,4,0.028636615841894784,0.028573142197588615,0.028604854671951816,0.8284075618817475,0.028618804452353683,0.028572600401490005,0.028586420552973793
final-project-dhananjai-nick,issue_7_User Interface Enhancement With Material UI.txt,context-fa24/final-project-dhananjai-nick/issue_7_User Interface Enhancement With Material UI.txt,477,6,0.005716300753454774,0.005714735347652424,0.0057263746814314115,0.00571808335175911,0.00571456532374263,0.9656922895305041,0.00571765101145556
final-project-dhananjai-nick,issue_5_User Authentication Security.txt,context-fa24/final-project-dhananjai-nick/issue_5_User Authentication Security.txt,450,3,0.007941455017735412,0.22512245722709356,0.7351741932809813,0.007944477740222092,0.007940044288774659,0.007940201510742722,0.00793717093445033
final-project-dhananjai-nick,issue_29_Preventing Anonymous Upvoting _ Vote Brigades.txt,context-fa24/final-project-dhananjai-nick/issue_29_Preventing Anonymous Upvoting _ Vote Brigades.txt,248,2,0.007946179975257059,0.9523464888232982,0.007937012916769601,0.007952303745724141,0.007944649595653051,0.00793665981389586,0.007936705129402137
final-project-dhananjai-nick,issue_28_Preventing Anonymous Upvoting _ Vote Brigades.txt,context-fa24/final-project-dhananjai-nick/issue_28_Preventing Anonymous Upvoting _ Vote Brigades.txt,248,2,0.007946179975257059,0.9523464888232982,0.007937012916769601,0.007952303745724141,0.007944649595653051,0.00793665981389586,0.007936705129402137
final-project-jamie-varun,issue_7_~Deleted.txt,context-fa24/final-project-jamie-varun/issue_7_~Deleted.txt,310,7,0.020428417987632688,0.020413156274371725,0.020477682652411195,0.020408701471393943,0.020433166178766133,0.020415685852608275,0.8774231895828161
final-project-jamie-varun,issue_3_Feature 1_ User Authentication (Login User Story).txt,context-fa24/final-project-jamie-varun/issue_3_Feature 1_ User Authentication (Login User Story).txt,188,7,0.023838024431370612,0.023816231028409376,0.023904208616459355,0.023810053002267635,0.02384474250581022,0.02382001236367513,0.8569667280520077
final-project-jamie-varun,issue_6_Feature 3_ Sort By Relevance (Relevance Filter User Story).txt,context-fa24/final-project-jamie-varun/issue_6_Feature 3_ Sort By Relevance (Relevance Filter User Story).txt,1319,4,0.00164276130766765,0.0016432332183850017,0.0016430840308794385,0.9901385337281964,0.0016422861195852622,0.001643822438957385,0.0016462791563288481
final-project-jamie-varun,issue_9_Feature 4_ Voting (Vote Answer User Story).txt,context-fa24/final-project-jamie-varun/issue_9_Feature 4_ Voting (Vote Answer User Story).txt,601,1,0.9693687072905325,0.005102323879662915,0.0051143585129969985,0.005106483300809528,0.005102582346241701,0.005102234798272564,0.00510330987148369
final-project-jamie-varun,issue_2_Feature 1_ User Authentication (Registration User Story).txt,context-fa24/final-project-jamie-varun/issue_2_Feature 1_ User Authentication (Registration User Story).txt,219,6,0.02040915065624999,0.020469306392471222,0.020409172830153408,0.020423446184023905,0.020409280171984977,0.8774254926612023,0.020454151103914308
final-project-jamie-varun,issue_4_~Deleted.txt,context-fa24/final-project-jamie-varun/issue_4_~Deleted.txt,838,6,0.002423203791904872,0.0024214668074122587,0.0024248769574206405,0.0024327421225483455,0.0024216159541509074,0.9854546681701463,0.0024214261964168324
final-project-jamie-varun,issue_8_Feature 2_ Answer Acceptance (Accept Answer User Story).txt,context-fa24/final-project-jamie-varun/issue_8_Feature 2_ Answer Acceptance (Accept Answer User Story).txt,613,7,0.005953644092912618,0.005966708310192105,0.005953198024740796,0.005952659916979975,0.005955649945133862,0.00595337073564658,0.9642647689743941
final-project-jamie-varun,issue_5_~Deleted.txt,context-fa24/final-project-jamie-varun/issue_5_~Deleted.txt,483,4,0.0038613435643992133,0.0038617468539573706,0.0038611667359624044,0.9768256385051938,0.003861747004057063,0.0038669959581219106,0.0038613613783082543
final-project-william-victoria,issue_7_Authentication_Content-Interaction-Public.txt,context-fa24/final-project-william-victoria/issue_7_Authentication_Content-Interaction-Public.txt,334,1,0.9427539751997118,0.009525777081808134,0.009543244141146863,0.009539711632799082,0.009581579511615732,0.009526386081577517,0.00952932635134081
final-project-william-victoria,issue_11_Threat_Tampering.txt,context-fa24/final-project-william-victoria/issue_11_Threat_Tampering.txt,541,2,0.00408949425914528,0.9754713269089362,0.004090395566967821,0.004086048126571861,0.0040839173961404905,0.0040953575006486415,0.004083460241589837
final-project-william-victoria,issue_2_Authentication.txt,context-fa24/final-project-william-victoria/issue_2_Authentication.txt,472,5,0.008413338050002089,0.008409168402718922,0.008408855927731987,0.008408521512932097,0.9495465263421989,0.008408684283267506,0.008404905481148424
final-project-william-victoria,issue_3_Creating and managing user profiles.txt,context-fa24/final-project-william-victoria/issue_3_Creating and managing user profiles.txt,382,4,0.015875994731862936,0.015874250264643133,0.015873851662740183,0.9045422167042577,0.015874097764386287,0.016070274995364356,0.01588931387674541
final-project-william-victoria,issue_10_Threat_DOS.txt,context-fa24/final-project-william-victoria/issue_10_Threat_DOS.txt,256,5,0.008408063377321166,0.008409835825901157,0.008433366008920373,0.3184062668381075,0.6395298157949546,0.008405041493008032,0.008407610661787069
final-project-william-victoria,issue_4_Communities.txt,context-fa24/final-project-william-victoria/issue_4_Communities.txt,487,6,0.007170535588130287,0.0071461467511652116,0.007158197887620123,0.007199294846858978,0.007172995105301341,0.9570094004439701,0.007143429376953862
final-project-william-victoria,issue_5_Authentication_Sign-Up.txt,context-fa24/final-project-william-victoria/issue_5_Authentication_Sign-Up.txt,301,3,0.020410600243096953,0.02046096419110381,0.8774243740617865,0.020415058408876887,0.02041072040820673,0.020418311767152163,0.020459970919776943
final-project-william-victoria,issue_6_Authentication_Log-In.txt,context-fa24/final-project-william-victoria/issue_6_Authentication_Log-In.txt,322,1,0.7583121949014747,0.011914798520621104,0.011986086890520171,0.011915403089399893,0.011957405540648442,0.011918978160164037,0.18199513289717165
final-project-william-victoria,issue_12_Threat_Repudiation.txt,context-fa24/final-project-william-victoria/issue_12_Threat_Repudiation.txt,196,1,0.8283952530570154,0.0285883566670746,0.028622454932495406,0.02860211726027563,0.02863571091331132,0.028582893945756797,0.02857321322407066
final-project-william-victoria,issue_9_Authentication_Content-Interaction-Authenticated.txt,context-fa24/final-project-william-victoria/issue_9_Authentication_Content-Interaction-Authenticated.txt,355,1,0.9045125160360054,0.015880519918345163,0.016002147443461904,0.01589180465343808,0.015895140511098717,0.01593572528366932,0.01588214615398142
final-project-william-victoria,issue_8_Administration.txt,context-fa24/final-project-william-victoria/issue_8_Administration.txt,469,1,0.9761741159197685,0.003969847476283558,0.003970656777108851,0.003969715871488033,0.003975979874075685,0.003970369386469618,0.003969314694805746
final-project-shrushti-nihar,issue_2_Feature 1 - A User Login System.txt,context-fa24/final-project-shrushti-nihar/issue_2_Feature 1 - A User Login System.txt,423,5,0.01100623958823739,0.010991810231077044,0.010996118527009083,0.010993973371301119,0.934027112555242,0.010994482503397055,0.010990263223736405
final-project-shrushti-nihar,issue_5_Feature 3B- Deleting answers.txt,context-fa24/final-project-shrushti-nihar/issue_5_Feature 3B- Deleting answers.txt,172,5,0.04765086565414971,0.04790805457489278,0.04764717736200556,0.04761970820081179,0.7139342154322824,0.04761972516089578,0.04762025361496199
final-project-shrushti-nihar,issue_4_Feature 3A - Editing answers.txt,context-fa24/final-project-shrushti-nihar/issue_4_Feature 3A - Editing answers.txt,228,5,0.017972027751470533,0.017879970217302307,0.01785805149865056,0.33112295419935656,0.5793434868489181,0.01791478113728196,0.01790872834701995
final-project-shrushti-nihar,issue_3_Feature 2 - A Like_Dislike Counter.txt,context-fa24/final-project-shrushti-nihar/issue_3_Feature 2 - A Like_Dislike Counter.txt,441,1,0.9522932028888005,0.007944893908183509,0.007972335891731047,0.007962228967909954,0.007952095900189965,0.007938325208619349,0.007936917234565464
final-project-tanmay-supratik,issue_3_Login.txt,context-fa24/final-project-tanmay-supratik/issue_3_Login.txt,217,3,0.028606251053774137,0.028581203949282076,0.8285136409190379,0.028575337292794385,0.02857279642372166,0.02857359617859355,0.028577174182796174
final-project-tanmay-supratik,issue_8_Earn Badge Based on Activity.txt,context-fa24/final-project-tanmay-supratik/issue_8_Earn Badge Based on Activity.txt,160,5,0.017870612987649734,0.017858359690840254,0.017960033470473435,0.0178692174555861,0.8927216863053711,0.017861690249400923,0.01785839984067845
final-project-tanmay-supratik,issue_4_Activity Tracking.txt,context-fa24/final-project-tanmay-supratik/issue_4_Activity Tracking.txt,181,7,0.03571560921886353,0.03571572590961134,0.03571527614894235,0.03571494867394928,0.03574016511089092,0.035772133803307286,0.7856261411344353
final-project-tanmay-supratik,issue_9_Accumulating Reputation Points.txt,context-fa24/final-project-tanmay-supratik/issue_9_Accumulating Reputation Points.txt,171,4,0.023811457969011934,0.023811481474968824,0.02381119127621092,0.8571320495071066,0.023811227209728277,0.023810856585303717,0.02381173597766952
final-project-tanmay-supratik,issue_6_Vote on a Post.txt,context-fa24/final-project-tanmay-supratik/issue_6_Vote on a Post.txt,147,5,0.023834682928035165,0.023810957187065225,0.02381877903600556,0.023848935216696072,0.8570652606281053,0.023810353034909658,0.023811031969183213
final-project-tanmay-supratik,issue_2_Registration.txt,context-fa24/final-project-tanmay-supratik/issue_2_Registration.txt,223,6,0.020485030989855376,0.020518444280670716,0.35014944676973425,0.020429094930391047,0.02049990388543833,0.547468530788492,0.020449548355418273
final-project-tanmay-supratik,issue_5_Comment on a Post.txt,context-fa24/final-project-tanmay-supratik/issue_5_Comment on a Post.txt,205,1,0.8928179192020336,0.01785785741232521,0.01785773178923779,0.017880207286218402,0.017862105009962864,0.017860981415753756,0.017863197884468492
final-project-tanmay-supratik,issue_7_Earning Badges.txt,context-fa24/final-project-tanmay-supratik/issue_7_Earning Badges.txt,180,4,0.01604465936474923,0.015874808378894222,0.015967088092634894,0.9044668312216797,0.015887716985666586,0.015884058391360704,0.015874837565014777
final-project-austin-zachary,issue_3_User Authentication (Edited After Code Review as Recommended by TA).txt,context-fa24/final-project-austin-zachary/issue_3_User Authentication (Edited After Code Review as Recommended by TA).txt,232,3,0.01592026781233518,0.01589675358703999,0.9045994036832188,0.015878237362208402,0.015878418876436106,0.0159461667405862,0.01588075193817552
final-project-austin-zachary,issue_2_Comment Voting System (Upvoting and Downvoting).txt,context-fa24/final-project-austin-zachary/issue_2_Comment Voting System (Upvoting and Downvoting).txt,249,7,0.011905778526777783,0.011905501038369088,0.011909232528613936,0.011963813085429575,0.0119458342822385,0.011910377288969256,0.9284594632496019
final-project-gwynith-ryan,issue_3_Automatic Tagging of Posts.txt,context-fa24/final-project-gwynith-ryan/issue_3_Automatic Tagging of Posts.txt,338,4,0.0068040421898320855,0.00680594468400882,0.0068031854221159895,0.9591644682394522,0.006813210206183362,0.006805762144213163,0.006803387114194496
final-project-gwynith-ryan,issue_4_Rating Questions and Accepting Answers.txt,context-fa24/final-project-gwynith-ryan/issue_4_Rating Questions and Accepting Answers.txt,364,7,0.006824243218659986,0.0068029907942660115,0.006808686070871203,0.006815294756489325,0.0068217972177547,0.006802890559556668,0.9591240973824021
final-project-gwynith-ryan,issue_2_Creating and Managing User Profiles and Logging In.txt,context-fa24/final-project-gwynith-ryan/issue_2_Creating and Managing User Profiles and Logging In.txt,490,6,0.011918990442408323,0.011905813556849632,0.011986717094385368,0.01194182154562475,0.011912273940330034,0.9284086335834936,0.01192574983690825
final-project-arush-eshwar,issue_17_Preventing Naked Password Storage or Transmission.txt,context-fa24/final-project-arush-eshwar/issue_17_Preventing Naked Password Storage or Transmission.txt,229,2,0.008403745896964796,0.9494773540962448,0.008419440318148239,0.008403584633580617,0.008406729346879279,0.008430229950365237,0.008458915757817124
final-project-arush-eshwar,issue_3_User Registration.txt,context-fa24/final-project-arush-eshwar/issue_3_User Registration.txt,282,5,0.028577117354812387,0.028611032899991454,0.028583643894479146,0.028575143874262014,0.8282518140314152,0.028597164287415086,0.028804083657624664
final-project-arush-eshwar,issue_20_Preventing Cross-Site Scripting.txt,context-fa24/final-project-arush-eshwar/issue_20_Preventing Cross-Site Scripting.txt,307,7,0.009555210459974255,0.009603502118919163,0.009525142344750577,0.009545206294640528,0.009524318498583578,0.009526302412490124,0.9427203178706417
final-project-arush-eshwar,issue_6_Voting on Posts.txt,context-fa24/final-project-arush-eshwar/issue_6_Voting on Posts.txt,299,6,0.014326577839899246,0.014303206188184574,0.014301249951985102,0.37499517007373606,0.014373842913324527,0.5534030272544944,0.01429692577837614
final-project-arush-eshwar,issue_4_User Login.txt,context-fa24/final-project-arush-eshwar/issue_4_User Login.txt,261,5,0.04763916274630997,0.047621330135997716,0.04762083350056199,0.04763201952617782,0.7142290386388178,0.04763556445377864,0.047622050998356064
final-project-arush-eshwar,issue_5_Commenting on Posts.txt,context-fa24/final-project-arush-eshwar/issue_5_Commenting on Posts.txt,304,6,0.015892896844997825,0.015873821056035332,0.015896443064066478,0.01589970159548653,0.015951274357723862,0.904603318795099,0.015882544286590878
final-project-arush-eshwar,"issue_2_Feature - User Authentication, Tracking, and Logging.txt","context-fa24/final-project-arush-eshwar/issue_2_Feature - User Authentication, Tracking, and Logging.txt",282,5,0.028577117354812387,0.028611032899991454,0.028583643894479146,0.028575143874262014,0.8282518140314152,0.028597164287415086,0.028804083657624664
final-project-arush-eshwar,issue_24_Admin User Profile for Post Moderation.txt,context-fa24/final-project-arush-eshwar/issue_24_Admin User Profile for Post Moderation.txt,233,4,0.01433874278481313,0.01431591174664826,0.014295875831771217,0.9141147693088966,0.01433008565390233,0.014286678443977428,0.014317936229991094
final-project-arush-eshwar,issue_16_Preventing Denial of Service (DoS) Vulnerability.txt,context-fa24/final-project-arush-eshwar/issue_16_Preventing Denial of Service (DoS) Vulnerability.txt,185,5,0.011905300672268856,0.011917176665543117,0.011905571133229084,0.011908436054584363,0.9285456058894004,0.011912039547211201,0.011905870037762858
final-project-arush-eshwar,issue_18_Preventing Information Disclosure.txt,context-fa24/final-project-arush-eshwar/issue_18_Preventing Information Disclosure.txt,205,6,0.010989791958758193,0.01108922918590627,0.010989648397645631,0.01098950495021575,0.0110018017884117,0.9339275984008667,0.011012425318195735
final-project-arush-eshwar,issue_19_Preventing User Profile Storage in Local Storage.txt,context-fa24/final-project-arush-eshwar/issue_19_Preventing User Profile Storage in Local Storage.txt,230,2,0.012987495371562028,0.8200061061534606,0.11498822546741473,0.012988530813957413,0.012993041944087003,0.013032496666638327,0.01300410358287972
final-project-arush-eshwar,issue_7_Automatic Tagging of Posts.txt,context-fa24/final-project-arush-eshwar/issue_7_Automatic Tagging of Posts.txt,335,4,0.008407454196959733,0.008413122334119115,0.008411474541041065,0.9494880663773391,0.00843611610695054,0.00843606385525839,0.008407702588332119
final-project-arush-eshwar,issue_15_Threat Prevention for DOS in Logging.txt,context-fa24/final-project-arush-eshwar/issue_15_Threat Prevention for DOS in Logging.txt,166,7,0.014309015448450806,0.01434613151858325,0.014339030916349266,0.01430997685689438,0.014375741884815545,0.014296170787772922,0.9140239325871339
final-project-caroline-forrest,issue_13_Voting on Posts_ Getting.txt,context-fa24/final-project-caroline-forrest/issue_13_Voting on Posts_ Getting.txt,437,3,0.014293151786282156,0.014285957791032757,0.9142753022765484,0.014285860086914133,0.014287887032014647,0.014285876954026213,0.014285964073181608
final-project-caroline-forrest,issue_4_Voting on Posts_ Creation.txt,context-fa24/final-project-caroline-forrest/issue_4_Voting on Posts_ Creation.txt,437,3,0.014293151786282156,0.014285957791032757,0.9142753022765484,0.014285860086914133,0.014287887032014647,0.014285876954026213,0.014285964073181608
final-project-caroline-forrest,issue_9_User Profile_ Deleting Questions.txt,context-fa24/final-project-caroline-forrest/issue_9_User Profile_ Deleting Questions.txt,291,5,0.012990631692214278,0.01301346024470328,0.012995452741058015,0.013023082222135881,0.9219972086939784,0.01299231634174872,0.012987848064161412
final-project-caroline-forrest,issue_11_Comments on Posts_ Deletion.txt,context-fa24/final-project-caroline-forrest/issue_11_Comments on Posts_ Deletion.txt,300,7,0.023809799803310404,0.023850394718882558,0.023809704870472684,0.023820731701772856,0.023822418535001486,0.02383445852640732,0.8570524918441527
final-project-caroline-forrest,issue_5_Stakeholders.txt,context-fa24/final-project-caroline-forrest/issue_5_Stakeholders.txt,1303,1,0.9877367504217602,0.002042713201964842,0.0020470574899123916,0.0020437654533129765,0.0020425026518533108,0.002045612015961643,0.002041598765234401
final-project-caroline-forrest,issue_32_User Authentication.txt,context-fa24/final-project-caroline-forrest/issue_32_User Authentication.txt,322,7,0.011911184345263873,0.011908417675016462,0.011917187616625868,0.011916352940444899,0.011912797452376785,0.011910121496660066,0.928523938473612
final-project-caroline-forrest,issue_10_Comments on Posts_ Editing.txt,context-fa24/final-project-caroline-forrest/issue_10_Comments on Posts_ Editing.txt,300,7,0.023809799803310404,0.023850394718882558,0.023809704870472684,0.023820731701772856,0.023822418535001486,0.02383445852640732,0.8570524918441527
